,app_name,rating,app_id,images,rated 1,rated 2,rated 3,rated 4,rated 5,For_notes,For_mock_test,For_pyq
0,IIT JEE Mains & Advanced Prep,4.5,com.edurev.iit,https://play-lh.googleusercontent.com/dO8otBHIAgUfDDqgkcwwGU5Y_it1h7TPVDtZpGrcxGi0N3b5ksYwNERZeQaYhdb0Qhs=w240-h480,8,1,5,12,72,256,446,8
1,"IIT JEE /AIEEE Notes, PYQ, MCQ",4.0,com.jeeprep.examnotes,https://play-lh.googleusercontent.com/y35qeNknY_dju_F5f1htohFPBbQeE6vF3IG6erb7VUxznx6RhroGg7QjD-QbXpxu4Ow=w240-h480,7,2,6,17,65,1,5,0
2,ThinkMerit - JEE Main|Advanced,4.5,com.thinkmerit.app,0,9,0,5,5,77,2,5,0
3,JEE Mains PYQ Questions,4.5,com.examgoal.jeemainpreparation.app,https://play-lh.googleusercontent.com/RxY1Lq8wQmxUL47TPps2L0a8cLMez1pwkfaA5XpEjP5ajtSZWREOKpcBuFQpWb3AkVg=w240-h480,5,0,3,8,81,0,1,0
4,Physics Notes offline: Shorts,4.6,com.andromedaastronomers.physicsshorts,https://play-lh.googleusercontent.com/uTtC_Ljx7RWVomHj1uIbE1LQ17hRTj1kCLF9vpzYziQjySw3YdYKD5odlEY4IjAeE7U=w240-h480,8,1,4,8,74,11,0,0
5,Moon8 JEE Mains Notes,3.9,com.mohitmrinal.moon8_notes,https://play-lh.googleusercontent.com/9OYmkkIfMwd5XgXFip9EfV3bzKbaoLOhVL1UJrb3CnC8hOXKMhloZhSP5jeN4ko_iUs=w240-h480,16,3,6,14,58,6,1,0
6,IIT JEE Mains & Advanced Guide,4.2,com.kopykitab.jee,https://play-lh.googleusercontent.com/_Xu5_rukztVX8Aclmw6mHkNCEb6UshUsv7Cct0R1evqdgw1EUS5T1LgnjQ21AkI9HH4=w240-h480,10,4,8,18,59,4,10,3
7,JEE Mains & JEE Advance 2024,4.3,jee.iit.latest,https://play-lh.googleusercontent.com/2wrbqcsMP-kVkNJvBIN-RhFPrUfLH5S0DS79FTH0OASGDT0GCGQMZMhL7NmM5tv92xQ=w240-h480,5,3,7,16,67,4,18,6
8,"IIT JAM Chemistry, Phy, Maths",0,com.edurev.iitjam,https://play-lh.googleusercontent.com/-CkMYe4xEWquZOxbs20uvKxhiAqu99C2_xXziIjJNMwtgfRFflpkPVcb_4rz4yvF5Q=w240-h480,5,0,7,12,73,4,17,4
9,ExamGOAL: JEE Adv Questions,4.3,com.examgoal.jeeadvancedpreparation.app,https://play-lh.googleusercontent.com/P0UZlmL8RYXl_ggxdJcxsOjMFwjQ6JGzDxvVC6gOwZ_9nn-3PbbwL8HXGg5htJxTPDyG=w240-h480,7,1,1,8,79,0,1,0
10,Maths Notes for JEE Offline,4.6,com.toralabs.mathsnotes,https://play-lh.googleusercontent.com/kDXnSCalsH79XDRXIK8FYgU0DA8p4iPm-hsPQCwdLGyDynZ62TeONLB3kW8RfKkquxBf=w240-h480,1,2,2,20,70,3,0,0
11,Rancho - The JEE App,5.0,in.boosters.rancho.premium,https://play-lh.googleusercontent.com/agcTdDaaIxsKIGX00Z61P7RnaonkttMCI2rrGlvj4iTZUjef0UwXsadcnKtzwgFWPzo=w240-h480,3,2,2,6,85,1,5,0
12,"Krakex : NEET, JEE Main & Adv.",0,com.krakex.jee,https://play-lh.googleusercontent.com/6OJ-VzCAPBlnauDCyfp5czVo1Yr8Vn_Nmey3lMYse2ebQ1wZNwafIdDqG3o1wHCqDA=w240-h480,11,2,2,8,75,0,3,0
13,Jee Chemistry (Mains+Advanced),4.7,com.pm161998.jeechemistry,https://play-lh.googleusercontent.com/CyGuwPHBntq86i8k5-Le7pIkwUjzGPd9M1muSaJR5wDiaB10ecJ2eFSQrNLfg2h9QA=w240-h480,5,0,1,7,83,0,3,0
14,JEE & NEET Chemistry Notes,4.6,com.gauthamchemnotes,0,6,0,0,2,86,10,0,0
15,MARKS: IIT JEE & NEET Prep App,4.7,com.scoremarks.marks,https://play-lh.googleusercontent.com/LSHIcrtwQ3yjfzm87Ng4q4u4XkGsaZuPBVOmLRnRRpm6ok2FLQ_ZWpYFfeGvOh7c_g=w240-h480,3,1,2,10,82,0,0,0
16,Physics Sir JEE,4.9,com.physicssir.jee,https://play-lh.googleusercontent.com/0jg3LBmyjQyrWxIfL94YhCOoeNyhEc6M5LrQQ_kEyQbAobsQZTPlzWP8FK5bHH-cCA=w240-h480,0,0,0,7,92,1,3,0
17,Physics Notes for JEE and NEET,4.5,com.toralabs.phynotes,https://play-lh.googleusercontent.com/djnfYATsJiCXR4gs5ELTz0zfcgHOeYD4lXe3O0De-ygSgNXd-EsPXsBPVPGN8VMmkQc=w240-h480,1,2,1,12,81,1,0,0
18,"Physics App for JEE Mains, Adv",4.6,com.edurev.physics,https://play-lh.googleusercontent.com/waWORY_1Fn444QYYKfrSdEntOvNSSqKbKY2Mj9mCOCWyrh4eUUiwySabOe410OrOj0w=w240-h480,6,2,5,16,66,4,9,2
19,TopAll -NEET/JEE Test Series,0,com.topall.app,https://play-lh.googleusercontent.com/gksbHzSILh0anrDWFuMCw_0fWrj3Cvi7xUiyRMW3TJlaznqSZrIOSSxNTUqLp_bT5Ow=w240-h480,24,8,2,14,49,0,13,0
20,Chemistry Notes for JEE & NEET,4.6,com.toralabs.chemnotes,https://play-lh.googleusercontent.com/CWPLQWwwmGNVwUfohzfJHW7w2mF6T0fUsJziuSmCbIZ2EW1vaiqepxopjsWU_30Tol8=w240-h480,0,1,0,17,77,2,0,0
21,Physics Numericals -- JEE,4.7,com.physicsnumericals.app,https://play-lh.googleusercontent.com/xVoI6Ta5fvwnPj0BdwqqiZ6_GCUFFPqcZr-MidMvqghQSemV5UypeuarXI2ZJzkeM1Wd=w240-h480,7,0,2,7,79,1,1,0
22,eSaral - Exam Preparation App,4.3,com.spayee.esaral.reader,https://play-lh.googleusercontent.com/QtsLVOLRpFJrSyr7tFWkJbXevbIJvJBxTdW1AAN1eRHZrUK_HE91wSDO0mkKn51WZODs=w240-h480,22,2,3,4,66,2,11,0
23,Chemistry Notes :Learn Offline,0,com.techsellance.chemistry,https://play-lh.googleusercontent.com/Gc8dN_FInYFS6XEmFjbicPpny-jnBPqhLnAQxWWUl-S54EpgkGvvbjl5GT3V7L1S-T0=w240-h480,6,6,0,13,63,6,0,0
24,JEE Main Chemistry MCQ and Sol,3.3,com.kenin.jeecheeng,https://play-lh.googleusercontent.com/XeeKAnLvwQTdmxqs0EauMsa-BHq7gU3vMYnxo7S8sGbCzBj6LR4LrX0pRvatMworCeyz=w240-h480,44,0,0,0,44,0,8,6
25,Physics: Notes & Formulas,0,calculation.apps.modernphysics,https://play-lh.googleusercontent.com/h9obKp2VKpmcmo7BLJEyJXC-NSV05IedFachF_QRQ3Ua55Yq9JbsSQw6tY96h3v6Aj0=w240-h480,0,9,9,28,52,0,5,4
26,Pedagogy: NEET & JEE Books,4.5,study.pedagogy.android,https://play-lh.googleusercontent.com/WlzIppogOg3QHfLJtxusoyctklJKGvsfYznLtq3W13GljiUUyRNgQWT6cqdFPCoxVig=w240-h480,13,3,4,11,67,0,17,8
27,MathonGo - for IIT JEE | Board,4.1,com.learnacad.learnacad,https://play-lh.googleusercontent.com/hvHt5x4T05yvmGi1eDzRk9QGzaDtYXphh2VZAgf-PbVO4nffZFCToP-IukJLUkwZLPs=w240-h480,12,0,2,6,77,0,2,0
28,Physics - IIT JEE Crash Course,4.5,com.physics.jeecrashcourse,https://play-lh.googleusercontent.com/1SZ8ZvqyhKNEEcJ6qn2bkf3FDzLPy8_TC9KfpZBXpZ9sdogD2WY2cV5b-XdIBsT5R1c=w240-h480,7,0,4,20,64,1,19,0
29,JEE Maths Notes & Formulas,4.3,com.gauthammathsformula,https://play-lh.googleusercontent.com/vxUcl6sUh2BsQo6XCajoi5d4QoAXY026pNLZF1rcxCqgP2Z8dDNi0gWQOan5jhtXEJA=w240-h480,6,0,6,6,81,4,0,0
30,Motion Learning App | JEE NEET,4.1,com.elearning.motion,https://play-lh.googleusercontent.com/GEucuhu6bsxw8ogG1PJbIPnEMfX45CbmRy8CKtPRGdlV_IZedvRDgbVXUOpotEUFq6A=w240-h480,14,4,3,9,68,0,4,0
31,ATP STAR IIT JEE & NEET Prep,4.6,com.app.atpstar,https://play-lh.googleusercontent.com/l9Mfc5pa3apNcZ1CHn5pDbxM8huDtygixkSpZzAw1r6iqzSvJIyBezrpw8aDqd2hQg=w240-h480,6,0,1,9,81,1,10,0
32,"EtoosIndia: JEE, NEET Prep App",4.1,com.etoos.india.app,https://play-lh.googleusercontent.com/VZVH5LmS0vW7rSbPKZebRcwH2VIvr2pkKMhw_oK4HsXInDlnDyenpPXliwpEva75i3yk=w240-h480,15,3,6,11,63,0,1,0
33,"ResoSir for IIT JEE,  NEET fou",3.4,com.resosir,https://play-lh.googleusercontent.com/zSqdRKk7JE93HpKfOeQhMxDWeELwjv2ntQWJghS4UMMXAXh1d7rLYpzdNUrv2tlVN14=w240-h480,9,1,4,12,72,0,0,0
34,ExamGOAL: Exam Preparation App,4.6,com.examgoal.android.app,https://play-lh.googleusercontent.com/EQqe4-swQ7ix8toqF-h2zQvhFy2oBztG1Og2OigiExY2JmSZWAB2GrY9W5Hc16vLM_A=w240-h480,10,0,0,20,70,0,6,0
35,EduRev Exam Preparation App,4.5,com.edurev,0,8,1,4,13,71,2,21,0
36,ExamGOAL: NEET PYQ Questions,0,com.neetcare.neetquestion,https://play-lh.googleusercontent.com/Rte68qzA5NR0v3nCfERtyqKKyDnb1tE8rMuoZaQ4IY8C8dBGlSecco5ZspqmDimZrno=w240-h480,7,2,4,17,68,0,1,0
37,"Doubtnut for NCERT, JEE, NEET",4.1,com.doubtnutapp,https://play-lh.googleusercontent.com/t5KqZtPT5F-eL5gHNr9LTqFbiZcTzvUSFH_APnPCNxX069-3ORfR1qNhodYJ58IwrQ=w240-h480,14,4,7,11,61,0,3,1
38,Visual Physics: Animations,3.7,com.visualphysics,0,10,2,3,16,66,0,2,0
39,Melvano: Crack exam with ease!,0,com.melvanostudent,https://play-lh.googleusercontent.com/BOoDmgATTj685tkk_S7UQ-YFlmcQfdF07bnGVa8-SLz3yWtu7_R6P2gQjsVgiHdKgA=w240-h480,2,2,8,18,68,0,0,0
40,IIT JEE Main & Advanced Papers,0,com.breakbrainwalls.jee_papers,https://play-lh.googleusercontent.com/HUUdbpeLpHX-PAfot2CvHXInR7N6qwFxVhgrkl_47GhzdqptfV1U6fbCSu1oErv7bR0z=w240-h480,0,0,0,0,0,0,0,0
41,"Vedantu | JEE-NEET, Class 1-12",3.9,com.vedantu.app,0,13,2,4,10,69,2,6,1
42,NEET Preparation 2024,4.8,com.edurev.neet,0,6,1,4,14,73,5,19,5
43,PHYSICS - JEE PAST YEAR PAPERS,0,com.rktech.jeemainphy,https://play-lh.googleusercontent.com/FCgbtRvIJIYMrq2Tmsvcm0bnGbDVLsLuJYqGjQwRc1KljpaJwY3SNlMjoMYYIZSiDQ=w240-h480,4,1,2,13,77,0,0,0
44,NEET Preparation App by Darwin,4.6,com.neet_darwin_mcqdb,0,6,1,3,15,72,8,19,3
45,"GMAT Exam Prep App, Mock tests",4.7,com.edurev.gmat,https://play-lh.googleusercontent.com/1bVWe3x71BUuftfxKxzqP-EPkozF-9OSFbGivGiOhtD5oef7E-53Ng_WqhQAYoZqdg=w240-h480,5,0,2,7,82,2,13,2
46,"Mock Test, Test Series-TestEgy",4.1,com.app.testseries.ttestegy,https://play-lh.googleusercontent.com/hOMSeC9twyqLEaiWKIadbYi4cH_OfEjLpe8sB2YSAe7PGddA0x03gGo32nbLReS899I=w240-h480,13,0,0,20,46,1,30,0
47,Sarthaks: Exam Preparation App,4.4,com.sarthaks,0,8,3,7,15,65,1,11,0
48,JEESankalp test app,4.2,com.app.testseries.jeesankalptestapp,https://play-lh.googleusercontent.com/9lHzNPqoBLN03NxYZCQDzaQiLb1DqSBH0hJPTcd5WkvxyyK1xoem4rwJWVthb2iAig=w240-h480,17,0,3,6,70,1,12,0
49,Mock Test MCQ App,0,com.neetly.exam,https://play-lh.googleusercontent.com/2IZz751lwDxffWpPqpjGMYfXX80-dXGOnP6LKCIQ9Foy7nXCpA9Eh1UNB0JBe08l0g=w240-h480,15,1,6,12,62,0,10,1
50,GED Test Prep 2024,4.3,pp.ged,https://play-lh.googleusercontent.com/YGIM5iUrzI3YiuGDYtRJTkNKzldcnRINexA_YXnQFwNgf_G51NX2-MKhmocWRibsK3MR=w240-h480,0,0,0,0,0,0,22,0
51,PracticeMock: Exam Preparation,4.0,com.practicemock.practicemock,https://play-lh.googleusercontent.com/aLreKkc45CYHjeixYRKYsK1_1s3GnnsJ-6m4Yb8TqKM-7nupFkgfvm50EUM_OytPPnw=w240-h480,5,1,3,16,73,1,21,0
52,SAT Exam Prep 2024,4.5,sat.exam,https://play-lh.googleusercontent.com/vU4RBqP0rFGi4T4sBaVjL8JCNlIonJjw9kCwn6vf_4qkQAmRMcti-C-RYqYWnwG65mgP=w240-h480,0,0,0,0,100,0,13,0
53,PTE Exam Practice - Mock Test,0,pte_app.exam_practice.mock_test,https://play-lh.googleusercontent.com/gyL81Gpq2SiGr8Z15kYlssuHIWmi_i8LwAoOLaYyOi_u8ksZUStJ1CnGrSpSeD17P_w=w240-h480,0,0,0,0,0,0,13,0
54,iGuruPrep,4.7,com.iguru.iguruprep,https://play-lh.googleusercontent.com/FrU4JmjZvbtCBjB4dqOquzg5R2NY4zp7trhK8PyK9N4gituuBIPgmFT4MGsEWR2IaR-Z=w240-h480,23,1,7,11,54,0,16,0
55,Vocabulary Builder - Test Prep,4.7,com.magoosh.gre.quiz.vocabulary,https://play-lh.googleusercontent.com/QPQWQQnM0MX5I94uzE-hcZDrP3Lt--ij3EnEhVH_XezPQZXQDr5YdNMsrGvTg8YSSM4=w240-h480,2,0,2,17,77,0,4,0
56,JEE Mains By Chapters,5.0,com.examsnet.jeemainschapterwise,https://play-lh.googleusercontent.com/E9i_iGMBBdYAkrVNYLhb8rqHkV_5aMIFp5BcX6UDLjjMKVvXTwlAZ2foEbRsT2chYws=w240-h480,0,0,3,3,90,0,0,0
57,JEE Main Solved Papers,4.4,com.Lastyear.jeemainsolvedpapers,https://play-lh.googleusercontent.com/rmjDhMJenvNVHTkOgISDSPVzhvNnONBM9RR_E3ELVTEs7uG-Vc4wGEIAAz_G1RKkL7c=w240-h480,4,2,5,13,73,0,0,0
58,Jee Physics (Mains + Advanced),0,com.pm161998.jeephysics,https://play-lh.googleusercontent.com/tF8yn2DT-8yM8kTPCCVKUL-E2RGdpE4Q2onnJ4V-1Nst6dH8BT-eoXAO5WWaS3QOITc=w240-h480,5,0,8,11,71,0,3,0
59,JEE Mains JEE Advance 2023-24,0,com.devhub.jeebooksque,https://play-lh.googleusercontent.com/DZ_lQNfxKp70l90RlFtd_Tni6tUAGSRiICXbUzjHHyOPdQfthv5sTGjGPM7PB8Op9g=w240-h480,6,3,6,21,59,12,3,0
60,IIT JEE Video Lectures,3.5,com.iitjeemaster.videoplayer,https://play-lh.googleusercontent.com/5oWxfefNNygQIrbCJRHghYUGShcPcqR0qIbp6n2trPBaLPKi0958nCG3yimgAlEgVpo=w240-h480,24,2,3,5,61,0,0,0
61,JEE Main Previous Year Paper,0,jee.iit.previous.year.paper,https://play-lh.googleusercontent.com/gH1dBZ9FnbFDAEsnb3v_gUZVxk3AAP6Z8Otx9P5G4Utur-8l6yGfVFPav41cXPiMhg=w240-h480,8,4,8,15,62,0,0,0
62,JEE Mains Previous Papers,0,com.istudentworld.iitmainspapers,https://play-lh.googleusercontent.com/Hz2FFS5FsffH-Rkd_158SqGoSwTWlIS4VpgjfUWPQPtZ-LoLFQexLEJHOGsteSyOkQ=w240-h480,6,0,6,7,76,0,0,0
63,JEE Advanced Solved Papers,0,com.Lastyear.jeeadvancesolvedpapers,https://play-lh.googleusercontent.com/a1zfVvDjavYMMg7DqPMCgrL70DoFXMPHchfiR3mZlR46aTskUwpWASA5X-gF4U-nkCWD=w240-h480,3,1,6,15,72,0,2,0
64,JEE PAPER SOLUTION,4.5,com.rktech.jeechemistry,https://play-lh.googleusercontent.com/ZP9wUrhWavbqFa0PggfKBRyB4IEfldDYRRsY1SeodfmNMr6So0WKIZwqiZLE2Qp9bkQ=w240-h480,7,1,4,15,68,0,1,0
65,JeeAB360 Predictor- JEE /NEET,4.4,com.adarshbarnwal.notesapp,https://play-lh.googleusercontent.com/dIpl0ComPxkAmfgqXCcHP5mKXDC3D_f2ISX_84TYcnUZj_QlGIhZZhgyUbJbRImSG_M=w240-h480,26,2,3,10,57,0,2,0
66,JEE Main Solved Papers Offline,0,com.toralabs.jeemains,https://play-lh.googleusercontent.com/j6w18zgU4crIjzRNcxl3t0bW-1RpD4OSVg3vuombXj6_MRxQbF54aHpvIJRZs5nRajc=w240-h480,10,0,5,16,66,0,0,0
67,Crash Course,4.7,com.complexly.thecrashcourse,https://play-lh.googleusercontent.com/FmMPAT4QdGT80VHcO0UhKOlcPKJ4w1RBmYYYO1urcfuWxhdVJYiHS7bf95V4YQkeeD8=w240-h480,3,0,0,2,91,0,0,0
68,Chemistry - JEE Crash Course,4.4,com.chemistry.jeecrashcourse,https://play-lh.googleusercontent.com/gqYE-BahUZISGg9CaM4YrHvr8DKgvIwS61a9lT9cd2CLO6KoOeSuqXi1FfZPEE8BtJA=w240-h480,8,1,3,14,69,1,18,0
69,Maths - IIT JEE Crash Course,4.4,com.maths.jeecrashcourse,https://play-lh.googleusercontent.com/iJzZ3xrzn8LKseoFkA_zzryXA8SQ3NA8C_I0Hyt_Ve7tePVvLDCAY2QO-qwVNoa4xsc=w240-h480,8,1,5,13,68,1,18,0
70,Crash Course Builder,0,com.WombatBrawler.CrashCourse,0,0,0,0,0,0,0,1,0
71,Khan Academy,4.3,org.khanacademy.android,https://play-lh.googleusercontent.com/TpK0AcjPn5-XDKgSZ5jAob1H7MsQuJILOMR4M4QYkTt5CBPgTJVr7mysrKM6Ia8SrX8=w240-h480,6,1,2,6,82,0,2,0
72,"AcadBoost - JEE, NEET, College",3.7,com.acadboost.courses,https://play-lh.googleusercontent.com/dqeGQJFkgsQE-md0M0Y1yONz6gmJsu2_kdCzYZlVt6Wxq1ky2W1czwYN5Zbf9uKa62E=w240-h480,19,1,1,4,73,1,2,0
73,Course Hero: Homework Helper,4.3,com.coursehero.coursehero,https://play-lh.googleusercontent.com/FOdN7tpESJIZaRHaT8AjQ3XVpwmYudr9NeTaP1-uxGIBjXz57DE9ly3dYffBF1Idf7g=w240-h480,39,1,4,12,40,6,1,0
